source_table,target_table,source_field,target_field,is_primary_key,transform_type,transform_fields,transform_params,compare_rule,tolerance,nullable,description,source_schema,target_schema,source_filter,target_filter,sample_size,batch_size,min_value,max_value,allowed_values,pattern,value_check_expr,join_tables,table_filters
users,user_profile,id,user_id,true,,,,,,,,,,deleted_at IS NULL,is_deleted = false,10000,500,,,,,
,,,,false,concat,first_name|last_name,"{""separator"": "" ""}",,,,,,,,,,,,,,,
,,,email_address,false,,email,,ignore_case,,,,,,,,,,,,,,
,,,phone_number,false,,phone,,ignore_whitespace,,,,,,,,,,,,,,,
,,,status_code,false,case,status,"{""cases"": [{""when"": ""active"", ""then"": ""1""}, {""when"": ""inactive"", ""then"": ""0""}, {""when"": ""pending"", ""then"": ""2""}], ""else"": ""0""}",,,,,,,,,,,,,,,
,,,created_at,false,date_format,create_time,"{""format"": ""%Y-%m-%d %H:%M:%S""}",,,,,,,,,,,,,,,
,,,balance,false,,account_balance,,numeric_tolerance,0.01,,,,,,,,,,,,,,
,,,tags,false,json_extract,metadata,"{""pattern"": ""$.tags""}",,,,,,,,,,,,,,,
orders,order_main,id,order_id,true,,,,,,,订单表迁移,,,,,,,,,,,,
,,,order_no,false,concat,prefix|seq_num,"{""separator"": ""-""}",,,,,,,,,,,,,,,
,,,total_amount,false,math,subtotal|tax|shipping,"{""expression"": ""subtotal + tax + shipping""}",numeric_tolerance,0.001,,,,,,,,,,,,
,,,currency,false,coalesce,currency_code,"{""default"": ""USD""}",,,,,,,,,,,,,,,
,,,is_paid,false,case,payment_status,"{""cases"": [{""when"": ""completed"", ""then"": ""true""}, {""when"": ""refunded"", ""then"": ""false""}], ""else"": ""false""}",,,,,,,,,,,,,,,
,,,notes,false,,remark,,skip,,true,备注字段跳过比较,,,,,,,,,,,,
